id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
4,2026-01-09,2821,40,10,5,1866.62,456.99,244461.27
7,2025-09-02,1254,25,11,4,1400.82,188.4,258202.93
10,2026-01-24,2281,69,13,3,791.38,67.44,20710.0
14,2026-01-20,367,65,1,11,0.0,122.12,249504.31
19,2025-05-19,1693,50,3,9,1257.43,237.2,106454.95
23,2025-03-21,61,19,3,5,1403.46,112.05,163649.61
26,2025-07-29,2295,71,11,4,614.46,149.78,36670.97
27,2025-06-25,352,30,3,6,-1290.55,179.37,162227.75
28,2025-02-21,1213,65,8,9,464.73,25.26,18041.73
36,2025-12-06,2313,53,12,6,779.35,64.18,95204.18
37,2025-11-13,2846,75,10,3,800.22,104.7,66127.82
41,2025-10-11,3651,48,13,5,816.63,106.27,136809.9
43,2025-11-06,2657,8,6,1,-1261.22,106.86,248818.74
46,2025-04-11,2761,28,2,1,564.21,57.82,23965.61
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
50,2025-02-22,717,49,15,10,518.78,86.45,66871.99
52,2025-01-24,1746,33,1,10,1429.69,78.5,173202.87
53,2025-09-29,1962,79,1,3,0.0,305.78,265915.68
54,2025-07-22,2969,3,4,3,421.01,63.89,13911.37
55,2026-12-02,2340,26,10,6,1954.65,431.08,150219.71
61,2025-03-07,1759,23,4,12,142.93,13.14,3134.79
63,2025-03-05,3691,55,10,7,-1680.49,242.41,238110.36
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
71,2025-08-16,3656,77,10,2,258.6,22.67,26081.96
77,2025-11-12,2386,79,14,12,1324.27,144.93,92440.33
84,2025-01-28,772,18,3,4,572.28,84.39,41526.61
85,2025-03-18,151,6,7,2,967.01,62.59,92114.86
91,2025-06-24,2778,14,3,1,158.84,26.5,9146.22
93,2025-06-22,919,4,8,2,361.25,84.51,9964.1
95,2026-01-18,106,11,3,7,1953.28,313.86,356037.27
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
103,2025-05-26,927,29,7,9,1179.01,231.56,150298.39
106,2025-06-14,2438,58,12,5,546.09,110.32,44986.21
108,2026-02-12,1620,74,13,11,1235.45,155.5,50330.02
118,2025-08-05,2114,78,1,2,348.72,36.88,68328.79
127,2025-05-18,1793,11,12,1,843.06,154.42,51393.0
129,2025-06-03,1894,29,12,11,1354.93,102.04,161419.79
130,2025-06-25,1384,38,15,7,1066.35,208.25,155755.8
133,2025-12-20,1793,4,1,11,1705.58,389.27,107532.29
143,2025-09-02,2342,41,10,10,169.2,9.37,31558.02
148,2025-12-23,848,13,8,3,505.33,68.83,88566.14
150,2025-05-20,1080,76,6,7,104.24,15.49,6890.09
151,2025-03-19,927,10,14,7,1524.01,139.89,138665.57
160,2025-12-26,1554,9,2,7,1101.08,81.1,82850.58
164,2026-01-16,851,50,13,9,501.92,62.0,81059.4
166,2025-05-09,2302,35,4,12,1924.36,409.1,50238.7
167,2026-02-20,743,77,6,5,605.91,121.04,58769.89
170,2025-12-18,2800,6,1,2,917.66,131.25,177908.61
172,2025-05-09,693,69,13,8,1440.24,319.57,199499.58
178,2026-01-04,833,71,4,10,1310.85,160.19,41123.88
183,2025-04-21,513,50,11,5,723.36,174.04,62801.44
189,2025-09-02,1725,74,11,7,1103.69,252.45,151711.76
192,2025-12-22,1525,3,4,3,234.48,35.63,36663.52
194,2025-05-07,583,72,10,6,1462.11,99.14,221551.14
196,2025-06-14,1172,54,6,7,1568.46,283.24,87378.2
199,2025-07-31,1268,39,15,8,1558.42,251.72,191348.34
200,2026-02-12,239,79,11,1,1218.97,181.78,225902.31
204,2025-11-27,2424,50,5,7,1614.32,388.18,80347.81
205,2025-04-06,419,46,7,1,1653.96,249.55,51983.28
206,2025-10-28,241,28,8,7,556.14,58.53,54199.33
207,2026-01-22,974,74,14,11,839.87,94.57,69882.74
213,2025-12-07,214,28,8,11,192.43,45.37,21029.68
217,2025-11-06,432,3,15,10,1422.59,251.31,174594.04
221,2025-03-15,2725,80,11,1,616.19,75.06,115464.32
222,2026-01-21,1600,78,2,10,1622.52,144.49,60407.59
224,2025-01-05,777,40,10,9,298.58,63.17,27470.47
225,2025-07-13,645,64,12,8,1651.96,180.18,80061.7
226,2025-04-02,832,44,3,6,1664.22,213.11,43423.44
227,2025-05-07,232,44,13,3,66.1,8.06,10033.13
228,2025-10-11,2555,30,5,11,341.36,395.85,51411.63
236,2025-07-10,2906,18,7,3,235.8,42.67,25121.58
253,2025-01-14,1563,59,10,10,792.74,145.28,71091.98
