id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
1,17400,2025-10-16,2092.59,Abierto
2,2465,2025-01-08,7076.25,Abierto
3,15785,2025-09-19,702.27,Cerrado
4,14299,2025-09-27,274.63,Abierto
5,12908,2025-01-12,9377.69,Rechazado
7,3379,2025-08-16,10513.3,Abierto
8,23824,2025-01-17,2736.2,Abierto
10,19947,2025-09-12,8801.03,Cerrado
11,6448,2025-05-31,1619.38,Abierto
13,3716,2025-07-13,-4274.39,Rechazado
15,19142,2025-01-29,14533.77,Abierto
17,2112,2025-08-01,11995.56,Cerrado
19,5547,2025-10-10,5714.06,Cerrado
21,8637,2025-06-06,4335.01,Abierto
22,6924,2025-11-16,10436.86,Cerrado
23,5261,2025-10-15,6636.22,Abierto
24,17180,2025-06-13,6183.83,Cerrado
26,7930,2025-12-10,1326.94,Abierto
29,18397,2025-12-19,1485.06,Abierto
33,2231,2025-09-21,2443.9,Rechazado
35,15273,2025-01-03,13959.68,Cerrado
36,16929,2025-06-01,3649.94,Cerrado
37,504,2025-09-15,1143.51,Rechazado
38,1202,2025-10-21,2154.09,Cerrado
40,8220,2025-04-30,1081.73,Cerrado
43,11680,2025-05-13,10535.93,Cerrado
44,17906,2025-06-22,8580.31,Abierto
45,15100,2025-01-27,8761.24,Abierto
47,6904,2025-04-08,7795.35,Abierto
48,503,2025-08-29,3740.29,Rechazado
52,22187,2025-08-19,4886.0,Cerrado
53,11106,2025-06-23,2182.44,Cerrado
54,14544,2025-07-27,2132.56,Cerrado
57,11757,2025-09-04,3215.08,Cerrado
59,4806,2025-01-16,2856.71,Cerrado
60,15711,2025-08-31,2916.65,Cerrado
62,14407,2025-04-05,8013.21,Cerrado
64,10093,2025-11-30,11004.28,Cerrado
65,19562,2025-05-29,14057.33,Cerrado
66,14064,2025-03-25,9842.05,Abierto
67,5049,2025-05-26,13723.01,Rechazado
70,18587,2025-12-18,5912.93,Cerrado
73,14099,2025-09-05,11459.27,Abierto
74,3314,2025-10-23,14502.38,Cerrado
75,9867,2025-08-16,1888.27,Abierto
77,8700,2025-09-05,9948.91,Abierto
78,4535,2026-12-02,8534.49,Cerrado
79,7460,2025-08-21,11711.43,Cerrado
84,2227,2025-09-26,10158.82,Abierto
87,23591,2025-03-09,1777.81,Abierto
88,14027,2025-03-18,10253.14,Abierto
89,12761,2025-04-22,14870.71,Abierto
90,21277,2025-05-21,6602.43,Rechazado
91,80,2025-12-09,12229.82,Abierto
93,1928,2025-01-31,12706.47,Abierto
96,17713,2026-02-21,7797.66,Abierto
99,18399,2025-06-27,2077.75,Cerrado
101,24142,2025-06-21,1602.59,Abierto
102,8858,2025-01-16,5155.2,Cerrado
105,19541,2025-09-28,4267.91,Cerrado
106,2501,2025-11-29,511.1,Abierto
109,9413,2025-07-21,4356.6,Cerrado
110,16745,2025-03-27,8484.21,Abierto
111,2641,2025-12-04,11886.43,Cerrado
112,6548,2025-10-27,13134.7,Cerrado
113,8649,2026-01-22,10126.28,Abierto
114,5370,2025-10-03,7762.7,Cerrado
115,24834,2025-10-08,12189.58,Abierto
120,21805,2025-12-07,12403.48,Abierto
121,3645,2025-10-04,13084.42,Rechazado
