id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,829.53,,139253.11,fechaEmision_vacia;comision_vacia
2,2026-02-16,2408,35,11,12,,12.22,27544.32,prima_vacia
3,2025-02-14,540,42,4,9,1611.53,92.05,,montoAsegurado_vacio
5,2026-02-13,945,23,9,11,,324.08,123407.75,prima_vacia
6,2025-02-05,1295,17,1,1,943.49,,71968.43,comision_vacia
8,2026-01-11,887,77,3,8,1670.56,258.75,,montoAsegurado_vacio
9,2025-02-28,1670,66,8,12,,131.85,125804.84,prima_vacia
11,2025-03-21,2590,25,8,4,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
12,2025-10-19,1521,14,11,5,726.02,,86216.65,comision_vacia
13,2025-08-19,1527,9,14,9,708.37,105.04,,montoAsegurado_vacio
15,2025-12-27,1954,62,13,4,85.94,,,comision_vacia;montoAsegurado_vacio
16,2025-01-07,424,19,5,11,,39.07,,prima_vacia;montoAsegurado_vacio
17,2025-09-10,856,73,14,8,832.85,,94675.98,comision_vacia
18,2025-01-15,123,75,2,5,,39.57,36567.17,prima_vacia
20,2025-03-26,522,32,1,3,487.69,117.43,,montoAsegurado_vacio
21,2026-01-13,179,34,2,9,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
22,2025-07-09,2160,71,5,5,,172.42,124757.66,prima_vacia
24,2025-04-26,302,15,15,9,,8.98,15865.44,prima_vacia
25,2025-02-13,101,34,8,2,,286.75,269942.16,prima_vacia
29,,1101,7,8,12,,54.06,,fechaEmision_vacia;prima_vacia;montoAsegurado_vacio
30,2025-05-07,2493,14,12,4,816.71,199.22,,montoAsegurado_vacio
31,2025-08-07,1847,45,4,2,,229.13,117309.88,prima_vacia
32,2025-07-28,388,22,6,4,822.52,,,comision_vacia;montoAsegurado_vacio
33,2025-09-18,1034,67,2,8,73.63,13.25,,montoAsegurado_vacio
34,2025-12-01,1969,41,10,5,,256.53,202107.44,prima_vacia
35,2025-01-19,1139,79,1,3,,191.44,,prima_vacia;montoAsegurado_vacio
38,2025-04-21,2327,39,13,7,,113.68,,prima_vacia;montoAsegurado_vacio
39,2025-11-15,629,62,11,7,,206.36,75584.63,prima_vacia
40,2025-09-08,25,47,6,9,1300.11,189.22,,montoAsegurado_vacio
42,,2455,31,5,11,308.02,58.25,,fechaEmision_vacia;montoAsegurado_vacio
44,,1701,10,14,10,946.36,153.66,153121.65,fechaEmision_vacia
45,2025-12-11,2278,66,3,11,1539.37,240.41,,montoAsegurado_vacio
47,,2482,18,3,2,1555.6,242.77,69252.65,fechaEmision_vacia
48,2025-07-16,259,29,14,1,,46.88,55688.51,prima_vacia
51,2025-06-04,2801,67,5,4,1612.8,321.59,,montoAsegurado_vacio
56,2025-09-03,2767,28,7,8,73.11,,,comision_vacia;montoAsegurado_vacio
57,2025-04-16,852,4,13,1,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
58,2025-03-29,454,6,15,8,,213.26,,prima_vacia;montoAsegurado_vacio
59,2025-01-02,1934,18,1,2,1253.51,,149260.92,comision_vacia
60,2026-01-26,3686,51,6,2,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
62,2025-12-16,584,36,4,8,695.24,63.23,,montoAsegurado_vacio
64,2025-07-20,1081,75,8,1,109.72,17.48,,montoAsegurado_vacio
65,,697,67,1,10,302.71,462.2,,fechaEmision_vacia;montoAsegurado_vacio
67,2025-11-22,1246,31,6,5,,359.79,258570.08,prima_vacia
68,2025-02-14,475,43,13,3,,187.12,235726.94,prima_vacia
69,2025-05-22,2178,76,1,4,,20.56,7505.94,prima_vacia
70,2025-09-03,730,78,15,4,,146.22,147931.73,prima_vacia
72,2026-01-28,2797,14,2,7,51.1,8.38,,montoAsegurado_vacio
73,2025-03-01,841,26,7,12,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
74,2025-01-04,2814,64,5,7,,358.53,279782.46,prima_vacia
75,2025-11-21,1345,51,15,1,,,,prima_vacia;comision_vacia;montoAsegurado_vacio
76,2025-09-20,2671,14,9,5,,381.13,,prima_vacia;montoAsegurado_vacio
78,2025-10-25,698,55,3,7,1298.49,305.47,,montoAsegurado_vacio
79,2025-06-24,2375,66,4,10,1055.66,,142122.95,comision_vacia
80,2025-09-17,914,64,6,7,,282.52,44463.35,prima_vacia
81,2025-11-30,2745,13,13,11,1688.38,,,comision_vacia;montoAsegurado_vacio
82,2025-07-18,2392,21,3,4,0.0,83.63,,montoAsegurado_vacio
83,2025-04-25,357,18,15,11,,182.21,,prima_vacia;montoAsegurado_vacio
86,2025-10-10,3714,32,15,11,1214.28,293.02,,montoAsegurado_vacio
87,2025-03-18,2217,98,11,12,1283.02,,94028.85,comision_vacia
88,2025-03-06,1671,28,12,6,885.97,132.85,,montoAsegurado_vacio
89,2025-10-23,2963,77,1,5,1372.83,,,comision_vacia;montoAsegurado_vacio
90,,753,20,1,10,916.04,219.65,129872.69,fechaEmision_vacia
92,,2659,25,11,4,,325.08,191582.82,fechaEmision_vacia;prima_vacia
