id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
6,5107,2026-02-10,10535.74,No Especificado,estado_invalido
9,18118,2025-08-27,,Cerrado,montoSiniestro_invalido
12,4096,2026-02-23,,Rechazado,montoSiniestro_invalido
14,8260,2025-09-08,,No Especificado,montoSiniestro_invalido;estado_invalido
16,16312,2025-10-02,,Abierto,montoSiniestro_invalido
18,4445,2025-05-23,,No Especificado,montoSiniestro_invalido;estado_invalido
20,21508,2025-08-29,8867.02,No Especificado,estado_invalido
25,719,2025-12-25,3257.92,No Especificado,estado_invalido
27,22625,2025-07-03,141.77,No Especificado,estado_invalido
28,3123,2025-10-08,,Cerrado,montoSiniestro_invalido
30,20396,2025-09-30,,No Especificado,montoSiniestro_invalido;estado_invalido
31,14500,2026-01-17,,Cerrado,montoSiniestro_invalido
32,20349,2025-06-13,-6166.3,No Especificado,estado_invalido
34,14393,2025-03-30,,Cerrado,montoSiniestro_invalido
39,551,2025-03-26,,Abierto,montoSiniestro_invalido
41,4657,2025-12-25,9268.6,No Especificado,estado_invalido
42,3586,2026-01-31,11247.07,No Especificado,estado_invalido
46,2860,2025-07-13,,Rechazado,montoSiniestro_invalido
49,12852,2025-01-11,4828.13,No Especificado,estado_invalido
50,25778,2025-10-18,11437.5,No Especificado,estado_invalido
51,1344,2025-08-15,14278.06,No Especificado,estado_invalido
55,19232,2025-03-25,5517.33,No Especificado,estado_invalido
56,14610,2025-11-27,,Abierto,montoSiniestro_invalido
58,9803,2025-03-23,,No Especificado,montoSiniestro_invalido;estado_invalido
61,16070,2025-12-06,,No Especificado,montoSiniestro_invalido;estado_invalido
63,22281,2025-07-07,,No Especificado,montoSiniestro_invalido;estado_invalido
68,4916,2025-11-20,5792.24,No Especificado,estado_invalido
69,14892,2025-09-21,14508.66,No Especificado,estado_invalido
71,19836,2025-01-14,5377.67,No Especificado,estado_invalido
72,23320,2026-02-20,7245.79,No Especificado,estado_invalido
76,18282,2025-08-02,,No Especificado,montoSiniestro_invalido;estado_invalido
80,23359,2025-02-24,,No Especificado,montoSiniestro_invalido;estado_invalido
81,10359,2025-10-20,,Cerrado,montoSiniestro_invalido
82,4048,2026-02-21,9909.58,No Especificado,estado_invalido
83,16988,2025-07-07,14090.71,No Especificado,estado_invalido
